date,equity_proxy,exposure_pct_proxy,n_positions_proxy,equity_percentile,exposure_pct_percentile,n_positions_percentile,benchmark_close
2021-08-10,256278598.483137,99.99647505851425,15,268426543.5608511,99.9986577135803,16,1052.069946
2021-08-11,255770846.155917,99.70316776831783,14,269475144.2639211,99.99866293677997,16,1051.920044
2021-08-12,259057380.110637,99.96360531763398,15,271739269.9129976,93.78779135661829,15,1054.089966
2021-08-13,253073115.53563702,87.1496415801395,13,266821239.02049762,93.26599640307596,14,1040.780029
2021-08-17,243449864.548137,74.80458564867729,11,256441938.98924762,87.06231663441419,13,1011.049988
2021-08-18,248435977.64035702,72.58423246200037,10,262216748.10381764,80.69416406500672,11,1021.080017
2021-08-19,246795113.423137,72.4019535209113,10,258629517.94174764,86.78142638355078,11,991.1500244
2021-08-20,239316079.985637,71.53946775547854,10,250622521.53549764,86.35911369275907,11,967.9000244
2021-08-23,242356637.985637,71.89652791161697,10,255026589.53549764,86.59467889788839,11,993.1799927
2021-08-24,243569717.235637,72.03649497825518,10,257193249.41049764,79.02742457407749,10,1013.179993
2021-08-25,240240853.860637,71.6490226303692,10,253333003.84799764,78.70784800887523,10,1017.780029
2021-08-26,240305261.830917,71.65662141906786,10,252695327.67717764,78.6541173044929,10,1020.440002
2021-08-27,238687884.26535702,86.86736961655387,12,251007117.33131763,93.88632326997248,12,1023.51001
2021-08-30,239812921.330917,79.0336344965934,11,252632121.17717764,86.5921104706864,11,1031.839966
2021-08-31,241918978.65480947,77.11718763047574,11,254583466.5141453,83.77111585862168,11,1038.329956
2021-09-01,237842352.9540695,76.72497547880388,11,250981145.85245532,83.53818344268224,11,1045.97998
2021-09-02,236952532.0704295,76.63757146288039,11,249574698.6806153,83.44541492302547,11,1047.189941
2021-09-03,238310776.31696075,84.6721496314852,12,250691856.19820532,83.5191870808043,11,1053.849976
2021-09-06,240787893.87005275,99.96863632772563,15,252569745.88316533,91.27862454520785,12,1052.959961
2021-09-07,242795721.2196618,92.78124537044336,14,252732973.0516853,91.28425723097851,12,1054.430054
2021-09-08,243745206.60091478,93.02059371622286,14,253320283.20738432,91.76353668313517,12,1037.219971
2021-09-09,244711132.8750468,86.2578102308565,13,254076530.6523283,84.92537295663702,11,1034.619995
2021-09-10,247202228.92381278,79.93972063609785,12,255791436.4145703,78.46958669824443,10,1037.910034
2021-09-13,246685839.5323408,87.42311120300754,13,254613061.08033633,85.91659025722949,11,1026.339966
2021-09-14,249439636.37067878,78.74119312894287,11,256931190.0701623,76.33379182031206,10,1037.73999
2021-09-15,245876919.76376078,78.4331564724094,11,253768557.2729636,69.33182674387407,9,1042.790039
2021-09-16,246302999.97763878,78.47046501231246,11,253618106.3224236,69.3136338163871,9,1039.430054
2021-09-17,246612192.01224774,78.2376912033431,10,254164065.90388358,65.85087380256715,8,1046.119995
2021-09-23,244008823.72967276,71.46066208119613,9,251748731.4729036,65.52323934018092,8,1036.26001
2021-09-24,247062105.56127876,71.81336142274665,9,255409416.26264364,66.01738147164063,8,1037.030029
2021-09-27,247423164.22979176,65.1095889810323,8,255785421.20026362,59.195999160433765,7,1034.819946
2021-09-28,243570648.22855276,64.55773321467476,8,251273782.3355036,58.46336038565031,7,1012.51001
2021-09-29,240987945.64330482,40.63219742797139,4,250074613.1549436,36.46113968570084,4,1001.460022
2021-09-30,241462632.33320224,33.71536158740275,3,250000597.53616667,29.284736480283286,3,1003.27002
2021-10-01,237464654.45400226,40.310070199917575,4,246240146.71096665,35.90438429448129,4,983.2000122
2021-10-05,238938191.80180228,26.002222277523472,2,248130598.31026667,21.51266808898488,2,955.3699951
2021-10-06,232760223.51080227,47.28818669573575,5,242886369.9017667,35.22762099322628,4,922.3599854
2021-10-07,231808650.26080227,47.07180498848324,5,241777671.0267667,34.93059991832341,4,953.4299927
2021-10-08,231374439.46360227,46.97247684401064,5,241387847.56856668,34.8255176665931,4,953.1099854
2021-10-12,229575972.82680225,46.55706651141397,5,240178388.5477667,34.49732050422254,4,940.1500244
2021-10-13,233834594.8886023,40.356081472870066,4,244150350.00606668,35.56295124514157,4,953.4699707
2021-10-14,234329974.2636023,40.482170195302494,4,244765746.56856668,35.7249605902289,4,983.4299927
2021-10-15,234444982.7164023,40.51136703901628,4,244915422.98536667,35.764241324252374,4,990.539978
2021-10-18,234191994.80500227,33.5821974473912,3,244226188.98946667,28.73795427562728,3,993.8599854
2021-10-19,236421998.92860228,41.63924574325652,4,246530153.85606667,36.84095830343189,4,1005.349976
2021-10-20,235774690.71400228,41.47901906444617,4,245899871.2309667,36.67907108323923,4,1001.619995
2021-10-21,232946822.98000228,56.009317194079344,6,244013041.20196667,51.36129311616067,6,993.7000122
2021-10-22,231514090.2286023,63.211241475841774,7,242462807.3060667,58.539396212768594,7,995.0700073
2021-10-25,232876815.42860228,70.87553147840238,8,243908620.50606668,66.20783353308474,8,994.3099976
2021-10-26,238200429.86900228,78.88888357117686,9,249443139.80346668,74.3211922047509,9,1011.76001
2021-10-27,238631240.7086023,78.9269963420219,9,249912067.8660667,74.36937520644476,9,1008.950012
2021-10-28,231674472.25624228,78.29421187674795,9,242898916.8744067,73.62934950356882,9,1000.130005
2021-10-29,231667586.9956127,99.99558837765989,12,242618360.30299786,96.36518356916002,12,992.3300171
