symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
AMGN,2026-09-25,414.61,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,72.73,7.57,445.82,7.53,-7.0,0.64,404.6954,404.6954,369.0505,362.1233,-6.64,False,,,,False,False,385.5873
AMZN,2026-09-25,249.67,후보 아님 (트렌드 템플릿 5/8),5,False,True,True,True,True,False,False,True,False,True,55.56,-5.74,267.56,7.17,-6.69,0.81,256.175,256.175,244.958,240.8478,-12.09,False,,,,False,False,232.1931
APP,2026-09-25,310.75,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,1.01,-56.75,338.34,8.88,-8.15,0.5,343.4202,343.4202,430.0093,466.4004,-57.64,False,,,,False,False,288.9975
ARM,2026-09-25,310.32,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,True,True,False,True,True,88.89,58.74,336.98,8.59,-7.91,1.35,264.316,264.316,243.5858,211.8308,-29.39,False,,,,False,False,288.5976
ASML,2026-09-25,1743.9399,2순위 · 근접 (피벗 3% 이내),8,True,True,True,True,True,True,True,True,True,True,81.82,17.88,1790.0,2.64,-2.57,0.56,1717.5726,1717.5726,1609.9329,1524.9262,-12.34,False,,,,False,False,1621.8641
AVGO,2026-09-25,352.81,후보 아님 (트렌드 템플릿 1/8),1,False,False,True,False,False,False,False,False,False,True,42.42,-14.44,376.59,6.74,-6.31,0.69,376.6252,376.6252,377.2843,368.3509,-26.74,False,,,,False,False,328.1133
AXON,2026-09-25,430.11,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,True,False,False,False,False,True,8.08,-33.92,616.0,43.22,-30.18,0.93,538.3882,538.3882,485.5669,500.5105,-43.36,False,,,,False,False,400.0023
BKNG,2026-09-25,163.95,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,True,False,False,False,False,True,10.1,-31.41,207.76,26.72,-21.09,1.25,191.2486,191.2486,178.1559,183.899,-26.49,False,,,,False,False,152.4735
BKR,2026-09-25,57.83,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,False,True,True,False,True,46.46,-8.67,66.09,14.28,-12.5,0.78,60.6332,60.6332,61.4282,59.1413,-16.99,False,,,,False,False,53.7819
CCEP,2026-09-25,101.73,후보 아님 (트렌드 템플릿 5/8),5,False,True,True,True,True,False,False,True,False,True,43.43,-10.04,109.28,7.42,-6.91,0.67,106.1452,106.1452,100.5171,98.5063,-8.93,False,,,,False,False,94.6089
